Fecha,madurez,precio_limpio,precio_sucio,tasa
16/05/2003,363.000000,9.335508,9.335508,7.059073
19/05/2003,360.000000,9.333000,9.333000,7.146684
20/05/2003,359.000000,9.364769,9.364769,6.802095
21/05/2003,358.000000,9.365544,9.365544,6.812209
22/05/2003,357.000000,9.373267,9.373267,6.742576
23/05/2003,356.000000,9.391833,9.391833,6.548246
26/05/2003,353.000000,9.402842,9.402842,6.476762
27/05/2003,352.000000,9.393778,9.393778,6.600111
28/05/2003,351.000000,9.396475,9.396475,6.587577
29/05/2003,350.000000,9.408889,9.408889,6.461973
30/05/2003,349.000000,9.411547,9.411547,6.449527
02/06/2003,346.000000,9.428139,9.428139,6.310894
03/06/2003,345.000000,9.428833,9.428833,6.321040
04/06/2003,344.000000,9.421889,9.421889,6.421216
05/06/2003,343.000000,9.423569,9.423569,6.420078
06/06/2003,342.000000,9.416700,9.416700,6.520331
09/06/2003,339.000000,9.415225,9.415225,6.595700
10/06/2003,338.000000,9.424461,9.424461,6.504352
11/06/2003,337.000000,9.441142,9.441142,6.323384
12/06/2003,336.000000,9.455867,9.455867,6.165481
13/06/2003,335.000000,9.456556,9.456556,6.175605
16/06/2003,332.000000,9.469722,9.469722,6.071986
17/06/2003,331.000000,9.472239,9.472239,6.059812
18/06/2003,330.000000,9.462833,9.462833,6.192652
19/06/2003,329.000000,9.472686,9.472686,6.091199
20/06/2003,328.000000,9.479756,9.479756,6.023357
23/06/2003,325.000000,9.489028,9.489028,5.964781
24/06/2003,324.000000,9.491500,9.491500,5.952695
25/06/2003,323.000000,9.499350,9.499350,5.874086
26/06/2003,322.000000,9.495533,9.495533,5.939639
27/06/2003,321.000000,9.491750,9.491750,6.005215
30/06/2003,318.000000,9.498267,9.498267,5.980034
01/07/2003,317.000000,9.501606,9.501606,5.956882
02/07/2003,316.000000,9.498789,9.498789,6.011291
03/07/2003,315.000000,9.501250,9.501250,5.999211
04/07/2003,314.000000,9.501089,9.501089,6.020361
07/07/2003,311.000000,9.498081,9.498081,6.117020
08/07/2003,310.000000,9.473861,9.473861,6.449325
09/07/2003,309.000000,9.469550,9.469550,6.526181
10/07/2003,364.000000,9.377156,9.377156,6.569151
11/07/2003,363.000000,9.383908,9.383908,6.511150
14/07/2003,360.000000,9.394000,9.394000,6.450926
15/07/2003,359.000000,9.378731,9.378731,6.642685
16/07/2003,358.000000,9.386428,9.386428,6.573318
17/07/2003,357.000000,9.404008,9.404008,6.390896
18/07/2003,356.000000,9.425456,9.425456,6.164153
21/07/2003,353.000000,9.425394,9.425394,6.217252
22/07/2003,352.000000,9.427022,9.427022,6.216175
23/07/2003,351.000000,9.430600,9.430600,6.192607
24/07/2003,350.000000,9.431250,9.431250,6.202783
25/07/2003,349.000000,9.443539,9.443539,6.078229
28/07/2003,346.000000,9.450244,9.450244,6.052759
29/07/2003,345.000000,9.448000,9.448000,6.096528
30/07/2003,344.000000,9.457244,9.457244,6.005983
31/07/2003,343.000000,9.454058,9.454058,6.060893
01/08/2003,342.000000,9.442350,9.442350,6.216673
04/08/2003,339.000000,9.439708,9.439708,6.303165
05/08/2003,338.000000,9.417889,9.417889,6.583215
06/08/2003,337.000000,9.433653,9.433653,6.413208
07/08/2003,336.000000,9.454000,9.454000,6.187857
08/08/2003,335.000000,9.460278,9.460278,6.130896
11/08/2003,332.000000,9.466033,9.466033,6.116610
12/08/2003,331.000000,9.470400,9.470400,6.082108
13/08/2003,330.000000,9.471083,9.471083,6.092232
14/08/2003,329.000000,9.473600,9.473600,6.080054
15/08/2003,328.000000,9.476111,9.476111,6.067891
18/08/2003,325.000000,9.480000,9.480000,6.075949
19/08/2003,324.000000,9.479800,9.479800,6.097175
20/08/2003,323.000000,9.483200,9.483200,6.073899
21/08/2003,322.000000,9.481222,9.481222,6.117358
22/08/2003,321.000000,9.489967,9.489967,6.027414
25/08/2003,318.000000,9.492967,9.492967,6.046578
26/08/2003,317.000000,9.493681,9.493681,6.056655
27/08/2003,316.000000,9.496156,9.496156,6.044546
28/08/2003,315.000000,9.491625,9.491625,6.121186
29/08/2003,314.000000,9.494983,9.494983,6.097961
01/09/2003,311.000000,9.496353,9.496353,6.139196
02/09/2003,310.000000,9.491083,9.491083,6.226901
03/09/2003,309.000000,9.490150,9.490150,6.259121
04/09/2003,364.000000,9.414567,9.414567,6.150040
05/09/2003,363.000000,9.421217,9.421217,6.092628
08/09/2003,360.000000,9.428000,9.428000,6.067034
09/09/2003,359.000000,9.439561,9.439561,5.953668
10/09/2003,358.000000,9.449078,9.449078,5.863004
11/09/2003,357.000000,9.444667,9.444667,5.929268
12/09/2003,356.000000,9.453144,9.453144,5.849910
15/09/2003,353.000000,9.457753,9.457753,5.847052
17/09/2003,351.000000,9.457900,9.457900,5.878683
18/09/2003,350.000000,9.460417,9.460417,5.866545
19/09/2003,349.000000,9.461958,9.461958,5.865597
22/09/2003,346.000000,9.471389,9.471389,5.806961
23/09/2003,345.000000,9.476750,9.476750,5.761469
24/09/2003,344.000000,9.477311,9.477311,5.771681
25/09/2003,343.000000,9.474067,9.474067,5.826428
26/09/2003,342.000000,9.470850,9.470850,5.881204
29/09/2003,339.000000,9.476433,9.476433,5.867190
30/09/2003,338.000000,9.473283,9.473283,5.921921
01/10/2003,337.000000,9.478586,9.478586,5.876405
02/10/2003,336.000000,9.461467,9.461467,6.098416
03/10/2003,335.000000,9.455625,9.455625,6.186794
06/10/2003,332.000000,9.445744,9.445744,6.362659
07/10/2003,331.000000,9.448333,9.448333,6.350330
08/10/2003,330.000000,9.443583,9.443583,6.427649
09/10/2003,329.000000,9.455322,9.455322,6.303331
10/10/2003,328.000000,9.468822,9.468822,6.157051
13/10/2003,325.000000,9.478194,9.478194,6.098213
14/10/2003,324.000000,9.477100,9.477100,6.130567
15/10/2003,323.000000,9.479611,9.479611,6.118396
16/10/2003,322.000000,9.483011,9.483011,6.095112
17/10/2003,321.000000,9.482833,9.482833,6.116320
20/10/2003,318.000000,9.489433,9.489433,6.090990
21/10/2003,317.000000,9.498964,9.498964,5.990126
22/10/2003,316.000000,9.489133,9.489133,6.133336
23/10/2003,315.000000,9.496000,9.496000,6.065712
24/10/2003,314.000000,9.499344,9.499344,6.042528
27/10/2003,311.000000,9.508447,9.508447,5.984156
28/10/2003,310.000000,9.521222,9.521222,5.839589
29/10/2003,309.000000,9.524483,9.524483,5.816593
30/10/2003,364.000000,9.442878,9.442878,5.835083
31/10/2003,363.000000,9.448442,9.448442,5.789311
03/11/2003,360.000000,9.456000,9.456000,5.752961
04/11/2003,359.000000,9.462497,9.462497,5.696173
05/11/2003,358.000000,9.462006,9.462006,5.717599
06/11/2003,357.000000,9.466483,9.466483,5.683212
07/11/2003,356.000000,9.467978,9.467978,5.682309
10/11/2003,353.000000,9.471481,9.471481,5.690763
11/11/2003,352.000000,9.472000,9.472000,5.701014
12/11/2003,351.000000,9.463750,9.463750,5.811650
13/11/2003,350.000000,9.462361,9.462361,5.844209
14/11/2003,349.000000,9.465836,9.465836,5.820935
17/11/2003,346.000000,9.461778,9.461778,5.918547
18/11/2003,345.000000,9.465250,9.465250,5.895248
19/11/2003,344.000000,9.463933,9.463933,5.927772
21/11/2003,342.000000,9.458500,9.458500,6.026326
24/11/2003,339.000000,9.433117,9.433117,6.381768
25/11/2003,338.000000,9.431972,9.431972,6.414356
26/11/2003,337.000000,9.428036,9.428036,6.480672
27/11/2003,336.000000,9.428800,9.428800,6.490752
28/11/2003,335.000000,9.427708,9.427708,6.523328
01/12/2003,332.000000,9.427300,9.427300,6.587252
02/12/2003,331.000000,9.432703,9.432703,6.541071
03/12/2003,330.000000,9.448167,9.448167,6.371602
04/12/2003,329.000000,9.461719,9.461719,6.225090
05/12/2003,328.000000,9.464267,9.464267,6.212839
08/12/2003,325.000000,9.467361,9.467361,6.231939
09/12/2003,324.000000,9.479800,9.479800,6.097175
10/12/2003,323.000000,9.476919,9.476919,6.151794
11/12/2003,322.000000,9.487483,9.487483,6.039540
15/12/2003,318.000000,9.463817,9.463817,6.413899
16/12/2003,317.000000,9.462861,9.462861,6.446255
17/12/2003,316.000000,9.465433,9.465433,6.433941
18/12/2003,315.000000,9.464500,9.464500,6.466269
19/12/2003,314.000000,9.466200,9.466200,6.465107
22/12/2003,311.000000,9.437608,9.437608,6.897938
23/12/2003,310.000000,9.444583,9.444583,6.829316
24/12/2003,365.000000,9.355167,9.355167,6.798379
26/12/2003,363.000000,9.364750,9.364750,6.727355
29/12/2003,360.000000,9.377000,9.377000,6.643916
30/12/2003,359.000000,9.380725,9.380725,6.619957
31/12/2003,358.000000,9.381456,9.381456,6.630096
02/01/2004,356.000000,9.394800,9.394800,6.514242
05/01/2004,353.000000,9.422453,9.422453,6.251024
06/01/2004,352.000000,9.430933,9.430933,6.171185
07/01/2004,351.000000,9.450100,9.450100,5.968191
08/01/2004,350.000000,9.464306,9.464306,5.821869
09/01/2004,349.000000,9.468744,9.468744,5.787467
12/01/2004,346.000000,9.477156,9.477156,5.740114
13/01/2004,345.000000,9.481542,9.481542,5.705819
14/01/2004,344.000000,9.484000,9.484000,5.693800
15/01/2004,343.000000,9.478831,9.478831,5.770749
16/01/2004,342.000000,9.484150,9.484150,5.725342
19/01/2004,339.000000,9.487733,9.487733,5.733723
20/01/2004,338.000000,9.488306,9.488306,5.743908
21/01/2004,337.000000,9.481394,9.481394,5.843028
22/01/2004,336.000000,9.481067,9.481067,5.864315
23/01/2004,335.000000,9.490986,9.490986,5.763365
26/01/2004,332.000000,9.497389,9.497389,5.738418
27/01/2004,331.000000,9.497983,9.497983,5.748593
28/01/2004,330.000000,9.497667,9.497667,5.769834
29/01/2004,329.000000,9.482739,9.482739,5.968738
30/01/2004,328.000000,9.500711,9.500711,5.767991
02/02/2004,325.000000,9.507083,9.507083,5.743090
03/02/2004,324.000000,9.507700,9.507700,5.753232
04/02/2004,323.000000,9.504733,9.504733,5.807637
06/02/2004,321.000000,9.504233,9.504233,5.850029
09/02/2004,318.000000,9.503567,9.503567,5.913565
10/02/2004,317.000000,9.494561,9.494561,6.045568
11/02/2004,316.000000,9.509322,9.509322,5.878445
12/02/2004,315.000000,9.508250,9.508250,5.910657
13/02/2004,314.000000,9.510683,9.510683,5.898634
16/02/2004,311.000000,9.509311,9.509311,5.973094
17/02/2004,310.000000,9.500556,9.500556,6.104900
18/02/2004,309.000000,9.503883,9.503883,6.081729
19/02/2004,364.000000,9.414567,9.414567,6.150040
20/02/2004,363.000000,9.409117,9.409117,6.227999
23/02/2004,360.000000,9.393000,9.393000,6.462259
24/02/2004,359.000000,9.402664,9.402664,6.370534
25/02/2004,358.000000,9.386428,9.386428,6.573318
26/02/2004,357.000000,9.396075,9.396075,6.481430
27/02/2004,356.000000,9.397767,9.397767,6.480259
01/03/2004,353.000000,9.410686,9.410686,6.386358
02/03/2004,352.000000,9.408444,9.408444,6.430399
03/03/2004,351.000000,9.405250,9.405250,6.485739
04/03/2004,350.000000,9.411806,9.411806,6.428092
05/03/2004,349.000000,9.428997,9.428997,6.246690
